Date	Speakers	Title	Description	YouTube ID	Non-YouTube landing page	Slides landing page	Transcript	Slides download URL	Talk download URL	Start time	End time	Conference landing page	Default image	GitHub username	Training material	Installation	Type	Target audience	Language
2024-03-07	Dataverse Community	Dataverse Community Meeting 2024 (March 7, 2024)		oUifFP7ZQR0															
2024-03-06	Dataverse Community	Dataverse Community Meeting 2024 (March 6, 2024)		-5hYute0UE4															
2024-03-05	Stefano Iacus	Bringing Data Close to Compute at Harvard Dataverse	With data becoming increasingly large and machine learning and AI equally popular also outside the hard sciences, we decided to exploit the versatility and cost effectiveness of the MOC infrastructure in terms of high performance computing (NERC) and storage (NESE). Moreover, being MOC an integrated infrastructure, it is possible to run computing on large data without moving data over the Internet.. In this talk we present a proof of concept of this approach where the Dataverse software is integrated with NESE and NERC realizing the goal of computing directly on large data.	LA1BbkV3Efk		https://osf.io/69cux				16217			1	siacus					
2024-03-05	Arofan Gregory	WorldFAIR, CDIF, and Cross-Domain FAIR Resources: Dataverse as a FAIRer Repository	This presentation introduces CODATA and the WorldFAIR project and it's goal of helping to define what FAIR implementation means in practical terms, both within and between domains, disciplines, and infrastructures. Repositories play a key role in helping to realize the FAIR vision, but that vision demands that more fine-grained metadata be made available, in a variety of forms. Dataverse is a potential platform for helping data managers meet the increased demands of FAIR, while not placing an unrealistic burden on them. By better supporting standards such as DDI-CDI, SKOS, and others recommended by the WorldFAIR Cross-Domain Interoperability Framework (CDIF), Dataverse could help promote FAIR both within and across domains. This presentation looks at the current state of play for FAIR implementation, and at emerging efforts to enable Dataverse to play this important role.	LA1BbkV3Efk		https://osf.io/p6xnz				13096									
2024-03-05	Philip Conzett, Jon Crabtree, Jim Myers	Updates from the Global Dataverse Community Consortium	Yearly update from the GDCC.	LA1BbkV3Efk		https://osf.io/pq93n				5849									
2024-03-05	Dataverse Community	Dataverse Community Meeting 2024 (March 5, 2024)		LA1BbkV3Efk															
2024-03-04	Dataverse Community	Dataverse Community Meeting 2024 (March 4, 2024)		fzJXDTP9Eco															
2024-02-28	Stefano Iacus	Bringing Data Close to Compute at Harvard Dataverse	With data becoming increasingly large and machine learning and AI equally popular also outside the hard sciences, we decided to exploit the versatility and cost effectiveness of the MOC infrastructure in terms of high performance computing (NERC) and storage (NESE). Moreover, being MOC an integrated infrastructure, it is possible to run computing on large data without moving data over the Internet.. In this talk we present a proof of concept of this approach where the Dataverse software is integrated with NESE and NERC realizing the goal of computing directly on large data.	9LmiVILZs_Q		https://docs.google.com/presentation/d/16BEBuRx6ClAJa-y3qBGH6HwLGftlyCBqQj4L8424DqE/edit?usp=sharing													
2024-02-06	Jorrit Poelen	A Dataverse Beyond The Internet	The Internet will likely become less popular at some point, just like the Cassette Tape did in the 90s. In his talk, Jorrit discusses "signed citations" as a method to extend citations and their associated digital data beyond the Internet. Poelen, J. H. (2024, February 6). A Dataverse Beyond the Internet hash://md5/e34b50213fc407892d0810dabd742b1f. Zenodo. https://doi.org/10.5281/zenodo.10626561		https://harvard.zoom.us/rec/share/qOxsFDx6_q_QD612Xpk2wIXVmEr23JlX5xEjmF5MaZ0WlosB72MOLQZeJSJozYFN.JJmm0wFDYHT2bxkP	https://jhpoelen.nl/dataverse-talk-2024-02-06/#/title-slide								jhpoelen					
2024-01-31	Gustavo Durand, James Myers	Introduction to Dataverse APIs	How to get started with Dataverse APIs and an overview of tools that make use of them.	Z8C0kz5zn0s		https://dataverse.org/presentations/introduction-dataverse-apis									1	dataverse.harvard.edu	tutorial	API users	
2024-01-23	Katie Mika, Wim Hugo, Amber Leahey	GDCC Sensitive Data IG meeting - National Repositories & National Regulations	This recording of the January meeting of the Sensitive Data IG focused on National Data Repositories & Initiatives as well as local sensitive data regulations and best practices for managing and sharing. We had a few community members from National Repositories who shared their perspectives including DANS & Borealis.		https://harvard.zoom.us/rec/share/VQteAjATctzHwizqsLQcvFx1zK74yFXT_pIwuBSYr_BMb8B7c_kCxCbpeAOFQHGD.dOU_aXyNxAY7yZMz	https://docs.google.com/presentation/d/1raxrGDFBqADdhnBJGhxLja8OCEQezqJG/edit?usp=sharing&ouid=105249378030301834452&rtpof=true&sd=true								kmika11					
